zipcode,zone,trange,zonetitle
00501,7b,5 to 10,7b: 5 to 10
00544,7b,5 to 10,7b: 5 to 10
01001,6b,-5 to 0,6b: -5 to 0
01002,6a,-10 to -5,6a: -10 to -5
01003,6a,-10 to -5,6a: -10 to -5
01004,6a,-10 to -5,6a: -10 to -5
01005,6a,-10 to -5,6a: -10 to -5
01007,6a,-10 to -5,6a: -10 to -5
01008,6a,-10 to -5,6a: -10 to -5
01009,6a,-10 to -5,6a: -10 to -5
01010,6a,-10 to -5,6a: -10 to -5
01011,6a,-10 to -5,6a: -10 to -5
01012,6a,-10 to -5,6a: -10 to -5
01013,6a,-10 to -5,6a: -10 to -5
01014,6a,-10 to -5,6a: -10 to -5
01020,6a,-10 to -5,6a: -10 to -5
01021,6a,-10 to -5,6a: -10 to -5
01022,6a,-10 to -5,6a: -10 to -5
01026,5b,-15 to -10,5b: -15 to -10
01027,6a,-10 to -5,6a: -10 to -5
01028,6b,-5 to 0,6b: -5 to 0
01029,5b,-15 to -10,5b: -15 to -10
01030,6b,-5 to 0,6b: -5 to 0
01031,6a,-10 to -5,6a: -10 to -5
01032,6a,-10 to -5,6a: -10 to -5
01033,6a,-10 to -5,6a: -10 to -5
01034,6a,-10 to -5,6a: -10 to -5
01035,6a,-10 to -5,6a: -10 to -5
01036,6a,-10 to -5,6a: -10 to -5
01037,6a,-10 to -5,6a: -10 to -5
01038,6a,-10 to -5,6a: -10 to -5
01039,6a,-10 to -5,6a: -10 to -5
01040,6a,-10 to -5,6a: -10 to -5
01041,6a,-10 to -5,6a: -10 to -5
01050,6a,-10 to -5,6a: -10 to -5
01053,6a,-10 to -5,6a: -10 to -5
01054,6a,-10 to -5,6a: -10 to -5
01056,6a,-10 to -5,6a: -10 to -5
01057,6a,-10 to -5,6a: -10 to -5
01059,6a,-10 to -5,6a: -10 to -5
01060,6a,-10 to -5,6a: -10 to -5
01061,6a,-10 to -5,6a: -10 to -5
01062,6a,-10 to -5,6a: -10 to -5
01066,6a,-10 to -5,6a: -10 to -5
01068,6a,-10 to -5,6a: -10 to -5
01069,6a,-10 to -5,6a: -10 to -5
01070,5b,-15 to -10,5b: -15 to -10
01071,6a,-10 to -5,6a: -10 to -5
01072,5b,-15 to -10,5b: -15 to -10
01073,6a,-10 to -5,6a: -10 to -5
01074,6a,-10 to -5,6a: -10 to -5
01075,6a,-10 to -5,6a: -10 to -5
01077,6b,-5 to 0,6b: -5 to 0
01079,6a,-10 to -5,6a: -10 to -5
01080,6a,-10 to -5,6a: -10 to -5
01081,6b,-5 to 0,6b: -5 to 0
01082,6a,-10 to -5,6a: -10 to -5
01083,6a,-10 to -5,6a: -10 to -5
01084,6a,-10 to -5,6a: -10 to -5
01085,6a,-10 to -5,6a: -10 to -5
01086,6a,-10 to -5,6a: -10 to -5
01088,6a,-10 to -5,6a: -10 to -5
01089,6a,-10 to -5,6a: -10 to -5
01090,6b,-5 to 0,6b: -5 to 0
01092,6a,-10 to -5,6a: -10 to -5
01093,6a,-10 to -5,6a: -10 to -5
01094,6a,-10 to -5,6a: -10 to -5
01095,6a,-10 to -5,6a: -10 to -5
01096,6a,-10 to -5,6a: -10 to -5
01097,6a,-10 to -5,6a: -10 to -5
01098,6a,-10 to -5,6a: -10 to -5
01101,6b,-5 to 0,6b: -5 to 0
01102,6b,-5 to 0,6b: -5 to 0
01103,6b,-5 to 0,6b: -5 to 0
01104,6a,-10 to -5,6a: -10 to -5
01105,6b,-5 to 0,6b: -5 to 0
01106,6b,-5 to 0,6b: -5 to 0
01107,6b,-5 to 0,6b: -5 to 0
01108,6b,-5 to 0,6b: -5 to 0
01109,6a,-10 to -5,6a: -10 to -5
01111,6a,-10 to -5,6a: -10 to -5
01115,6b,-5 to 0,6b: -5 to 0
01116,6b,-5 to 0,6b: -5 to 0
01118,6b,-5 to 0,6b: -5 to 0
01119,6a,-10 to -5,6a: -10 to -5
01128,6a,-10 to -5,6a: -10 to -5
01129,6a,-10 to -5,6a: -10 to -5
01138,6b,-5 to 0,6b: -5 to 0
01139,6a,-10 to -5,6a: -10 to -5
01144,6b,-5 to 0,6b: -5 to 0
01151,6a,-10 to -5,6a: -10 to -5
01152,6a,-10 to -5,6a: -10 to -5
01199,6b,-5 to 0,6b: -5 to 0
01201,5b,-15 to -10,5b: -15 to -10
01202,5b,-15 to -10,5b: -15 to -10
01203,5b,-15 to -10,5b: -15 to -10
01220,5b,-15 to -10,5b: -15 to -10
01222,6a,-10 to -5,6a: -10 to -5
01223,6a,-10 to -5,6a: -10 to -5
01224,5b,-15 to -10,5b: -15 to -10
01225,5b,-15 to -10,5b: -15 to -10
01226,5b,-15 to -10,5b: -15 to -10
01227,5b,-15 to -10,5b: -15 to -10
01229,5b,-15 to -10,5b: -15 to -10
01230,6a,-10 to -5,6a: -10 to -5
01235,5b,-15 to -10,5b: -15 to -10
01236,5b,-15 to -10,5b: -15 to -10
01237,5b,-15 to -10,5b: -15 to -10
01238,5b,-15 to -10,5b: -15 to -10
01240,5b,-15 to -10,5b: -15 to -10
01242,5b,-15 to -10,5b: -15 to -10
01243,6a,-10 to -5,6a: -10 to -5
01244,5b,-15 to -10,5b: -15 to -10
01245,5b,-15 to -10,5b: -15 to -10
01247,5b,-15 to -10,5b: -15 to -10
01252,6a,-10 to -5,6a: -10 to -5
01253,5b,-15 to -10,5b: -15 to -10
01254,5b,-15 to -10,5b: -15 to -10
01255,6a,-10 to -5,6a: -10 to -5
01256,5b,-15 to -10,5b: -15 to -10
01257,6a,-10 to -5,6a: -10 to -5
01258,6a,-10 to -5,6a: -10 to -5
01259,6a,-10 to -5,6a: -10 to -5
01260,5b,-15 to -10,5b: -15 to -10
01262,5b,-15 to -10,5b: -15 to -10
01263,5b,-15 to -10,5b: -15 to -10
01264,5b,-15 to -10,5b: -15 to -10
01266,5b,-15 to -10,5b: -15 to -10
01267,5b,-15 to -10,5b: -15 to -10
01270,5b,-15 to -10,5b: -15 to -10
01301,6a,-10 to -5,6a: -10 to -5
01302,6a,-10 to -5,6a: -10 to -5
01330,5b,-15 to -10,5b: -15 to -10
01331,5b,-15 to -10,5b: -15 to -10
01337,5b,-15 to -10,5b: -15 to -10
01338,5b,-15 to -10,5b: -15 to -10
01339,5b,-15 to -10,5b: -15 to -10
01340,5b,-15 to -10,5b: -15 to -10
01341,6a,-10 to -5,6a: -10 to -5
01342,6a,-10 to -5,6a: -10 to -5
01343,5b,-15 to -10,5b: -15 to -10
01344,6a,-10 to -5,6a: -10 to -5
01346,5b,-15 to -10,5b: -15 to -10
01347,6a,-10 to -5,6a: -10 to -5
01349,6a,-10 to -5,6a: -10 to -5
01350,5b,-15 to -10,5b: -15 to -10
01351,6a,-10 to -5,6a: -10 to -5
01354,6a,-10 to -5,6a: -10 to -5
01355,5b,-15 to -10,5b: -15 to -10
01360,5b,-15 to -10,5b: -15 to -10
01364,5b,-15 to -10,5b: -15 to -10
01366,6a,-10 to -5,6a: -10 to -5
01367,5b,-15 to -10,5b: -15 to -10
01368,5b,-15 to -10,5b: -15 to -10
01370,5b,-15 to -10,5b: -15 to -10
01373,6a,-10 to -5,6a: -10 to -5
01375,6a,-10 to -5,6a: -10 to -5
01376,6a,-10 to -5,6a: -10 to -5
01378,5b,-15 to -10,5b: -15 to -10
01379,5b,-15 to -10,5b: -15 to -10
01380,5b,-15 to -10,5b: -15 to -10
01420,6a,-10 to -5,6a: -10 to -5
01430,6a,-10 to -5,6a: -10 to -5
01431,6a,-10 to -5,6a: -10 to -5
01432,6a,-10 to -5,6a: -10 to -5
01434,6a,-10 to -5,6a: -10 to -5
01436,5b,-15 to -10,5b: -15 to -10
01438,5b,-15 to -10,5b: -15 to -10
01440,5b,-15 to -10,5b: -15 to -10
01441,6a,-10 to -5,6a: -10 to -5
01450,6a,-10 to -5,6a: -10 to -5
01451,6a,-10 to -5,6a: -10 to -5
01452,5b,-15 to -10,5b: -15 to -10
01453,6a,-10 to -5,6a: -10 to -5
01460,6a,-10 to -5,6a: -10 to -5
01462,6a,-10 to -5,6a: -10 to -5
01463,6a,-10 to -5,6a: -10 to -5
01464,6a,-10 to -5,6a: -10 to -5
01467,6a,-10 to -5,6a: -10 to -5
01468,5b,-15 to -10,5b: -15 to -10
01469,6a,-10 to -5,6a: -10 to -5
01470,6a,-10 to -5,6a: -10 to -5
01471,6a,-10 to -5,6a: -10 to -5
01472,6a,-10 to -5,6a: -10 to -5
01473,6a,-10 to -5,6a: -10 to -5
01474,6a,-10 to -5,6a: -10 to -5
01475,5b,-15 to -10,5b: -15 to -10
01501,6a,-10 to -5,6a: -10 to -5
01503,6b,-5 to 0,6b: -5 to 0
01504,6b,-5 to 0,6b: -5 to 0
01505,6a,-10 to -5,6a: -10 to -5
01506,6a,-10 to -5,6a: -10 to -5
01507,6b,-5 to 0,6b: -5 to 0
01508,6a,-10 to -5,6a: -10 to -5
01509,6b,-5 to 0,6b: -5 to 0
01510,6a,-10 to -5,6a: -10 to -5
01515,6a,-10 to -5,6a: -10 to -5
01516,6b,-5 to 0,6b: -5 to 0
01518,6a,-10 to -5,6a: -10 to -5
01519,6b,-5 to 0,6b: -5 to 0
01520,6b,-5 to 0,6b: -5 to 0
01521,6a,-10 to -5,6a: -10 to -5
01522,6a,-10 to -5,6a: -10 to -5
01523,6b,-5 to 0,6b: -5 to 0
01524,6b,-5 to 0,6b: -5 to 0
01525,6b,-5 to 0,6b: -5 to 0
01526,6b,-5 to 0,6b: -5 to 0
01527,6a,-10 to -5,6a: -10 to -5
01529,6b,-5 to 0,6b: -5 to 0
01531,6a,-10 to -5,6a: -10 to -5
01532,6b,-5 to 0,6b: -5 to 0
01534,6b,-5 to 0,6b: -5 to 0
01535,6a,-10 to -5,6a: -10 to -5
01536,6b,-5 to 0,6b: -5 to 0
