Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other Uses,Link
Abelia triflora,Indian Abelia,Shrub,3.5,5-9,M,LM,SN,DM,0,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Abelia triflora
Abelmoschus esculentus,Okra,Annual,1.0,5-11,,LMH,N,M,4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus esculentus
Abelmoschus manihot,Aibika,Perennial,3.0,8-11,F,LMH,N,M,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus manihot
Abelmoschus moschatus,"Musk Mallow,Musk Okra",Perennial,2.0,8-11,F,LMH,N,M,2,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus moschatus
Abies alba,"Silver Fir, Christmas Tree Fir, European Silver Fir, Silver",Tree,45.0,5-8,F,LMH,FSN,M,2,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Abies alba
Abies amabilis,"Red Fir,Pacific silver fir",Tree,30.0,4-8,S,LMH,FSN,M,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies amabilis
Abies balsamea,Balsam Fir,Tree,15.0,3-6,S,LMH,FSN,M,3,5,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies balsamea
Abies cephalonica,Grecian Fir,Tree,36.0,4-8,M,LMH,FSN,M,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies cephalonica
Abies concolor,"Colorado Fir, White fir",Tree,45.0,3-7,F,LMH,FSN,DM,0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies concolor
Abies delavayi,,Tree,25.0,6-9,S,LMH,FSN,M,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies delavayi
Abies firma,"Momi Fir, Japanese Fir",Tree,30.0,6-9,M,LMH,FSN,M,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Abies firma
Abies fraseri,"She Balsam, Fraser fir, Southern Balsam Fir",Tree,15.0,4-7,F,LMH,FSN,M,1,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Abies fraseri
